"GEOID","COUNTY","POWERCO","POP07","POP08","POP09","POP10","POP11","MEDIANAGE","AGEDUMMY","PCTWHITE","HHTOT","HHSIZE","HHBYPOP07","HHBYPOP08","HHBYPOP09","HHBYPOP10","HHBYPOP11","HHNONRENT","HHPCTRENTEROCCUPIED","CITYSOLARPOT","PCTWEALTHY","MEDIANINCOME","PWRPRICE2007","PWRPRICE2008","PWRPRICE2009","PWRPRICE2010","PWRPRICE2011","HHS_OO07","HHS_OO08","HHS_OO09","HHS_OO10","PCTWEALTHOOH07","PCTWEALTHOOH08","PCTWEALTHOOH09","PCTWEALTHOOH10","TOTALOOH07","TOTALOOH08","TOTALOOH09","TOTALOOH10","TOTALHH07","TOTALHH08","TOTALHH09","TOTALHH10","PCTVET07","PCTVET08","PCTVET09","PCTVET10","PCTBS07","PCTBS08","PCTBS09","PCTBS10","PCTBS_FULL","PCTGRAD_FULL","PCTVETERANS","REP","city"
648788,"San Bernardino","SCE",35732,36007,36057,36628,37031,30.7000007629395,0,52.7000007629395,9523,3.80999994277954,9378.48046875,9450.66015625,9463.7802734375,9613.650390625,9719.419921875,6071,40.2999992370605,5.66,8.119,40797,0.148000001907349,0.150000005960464,0.155000001192093,0.158999994397163,0.159999996423721,3.38,3.495,3.562,3.524,0.175614367,0.220427112,0.220189145,0.185964912,5290,5385,4864,5415,9043,9150,8473,8907,0.063465251,0.066780822,0.049585794,0.039466707,0.126,0.109,0.12,0.126,10.5,2.70000004768372,4.6399998664856,0,"Montclair"
648956,"Santa Clara","PG&E",3314,3304,3328,3344,3364,48.2999992370605,1,80.8000030517578,1211,2.75999999046326,1200.71997070312,1197.09997558594,1205.80004882812,1211.58996582031,1218.83996582031,1166,10,5.4,66.802,154268,0.151999995112419,0.150000005960464,0.163000002503395,0.163000002503395,0.157000005245209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.5,31.8999996185303,11.4799995422363,0,"Monte Sereno"
648816,"Los Angeles","SCE",62621,62505,62463,62471,62792,34.7000007629395,0,53.7999992370605,19012,3.26999998092651,19150.150390625,19114.6796875,19101.830078125,19104.279296875,19202.44921875,9522,53.9000015258789,5.66,9.161,38805,0.148000001907349,0.150000005960464,0.155000001192093,0.158999994397163,0.159999996423721,3.091,3.07,3.179,3.1,0.270624083,0.298652779,0.31189171,0.279661017,8861,8833,8939,8968,19310,18946,17816,18647,0.04811789,0.048609901,0.040787497,0.042060943,0.165,0.162,0.168,0.157,10.8000001907349,5.59999990463257,4.40999984741211,0,"Montebello"
648872,"Monterey","PG&E",28819,27924,27799,27921,29440,36.9000015258789,1,78.3000030517578,12184,2.07999992370605,13855.2900390625,13425,13364.900390625,13423.5595703125,14153.849609375,5760,64.1999969482422,5.41,15.218,49109,0.151999995112419,0.150000005960464,0.163000002503395,0.163000002503395,0.157000005245209,2.107,1.929,2.025,2.112,0.454525039,0.433404306,0.406227884,0.391613046,4453,4227,4239,4507,12132,12902,12534,12256,0.122626153,0.105326238,0.115882822,0.117961796,0.479,0.48,0.482,0.429,27,20.7999992370605,11.5299997329712,0,"Monterey"
648914,"Los Angeles","SCE",60622,60304,60441,60349,60435,43.0999984741211,1,19.3999996185303,19963,3.00999999046326,20140.19921875,20034.55078125,20080.0703125,20049.5,20078.0703125,11945,44.5999984741211,5.66,12.268,40724,0.148000001907349,0.150000005960464,0.155000001192093,0.158999994397163,0.159999996423721,2.872,2.899,2.977,2.994,0.286855961,0.34348709,0.373655424,0.390056149,10636,10341,10970,11042,20017,19627,19705,19632,0.040223375,0.03637966,0.036756779,0.038769697,0.268,0.258,0.283,0.282,20.2000007629395,7.90000009536743,3.78999996185303,0,"Monterey Park"
649138,"Ventura","SCE",33682,34089,34221,34410,34710,34.7000007629395,0,75.0999984741211,10484,3.27999997138977,10268.900390625,10392.990234375,10433.23046875,10490.849609375,10582.3203125,8436,22,5.68,30.353,76642,0.148000001907349,0.150000005960464,0.155000001192093,0.158999994397163,0.159999996423721,3.263,3.089,3.147,3.152,0.51934696,0.575019138,0.522653541,0.533199433,7779,7838,8939,8464,9398,9293,10826,10627,0.065418512,0.054958454,0.052405762,0.046098295,0.344,0.363,0.366,0.372,24.7000007629395,12.8000001907349,5.42999982833862,1,"Moorpark"
649187,"Contra Costa","PG&E",15842,15863,15929,16019,16076,45,1,76.1999969482422,5570,2.5699999332428,6164.2001953125,6172.3701171875,6198.0498046875,6233.06982421875,6255.25,4857,16.1000003814697,5.36,49.037,98080,0.151999995112419,0.150000005960464,0.163000002503395,0.163000002503395,0.157000005245209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.9000015258789,33.7999992370605,8.28999996185303,0,"Moraga"
649270,"Riverside","SCE",182330,185513,189690,192599,195216,28.6000003814697,0,41.9000015258789,51592,3.74000000953674,48751.33984375,49602.41015625,50719.25,51497.05859375,52196.7890625,37360,35.2999992370605,5.85,9.916,47387,0.148000001907349,0.150000005960464,0.155000001192093,0.158999994397163,0.159999996423721,3.597,3.544,3.469,3.468,0.221745734,0.241592186,0.243859811,0.246804635,33579,32559,32613,31843,47554,48806,49213,49940,0.068655267,0.068104237,0.076871571,0.073435329,0.137,0.134,0.144,0.141,10.6999998092651,4.19999980926514,7.84000015258789,1,"Moreno Valley"
649278,"Santa Clara","PG&E",36467,37107,37653,37865,38309,36.7999992370605,1,65.1999969482422,12326,3.03999996185303,11995.7197265625,12206.25,12385.8603515625,12455.58984375,12601.6396484375,9326,28.7000007629395,5.4,39.286,81958,0.151999995112419,0.150000005960464,0.163000002503395,0.163000002503395,0.157000005245209,2.978,2.869,2.778,2.782,0.597349531,0.570537537,0.559051677,0.574092686,9055,8818,9153,8955,11378,11683,12636,12371,0.070262954,0.065572498,0.057551576,0.065416713,0.343,0.361,0.354,0.373,24.3999996185303,13.8000001907349,6.6399998664856,0,"Morgan Hill"
649362,"San Luis Obispo","PG&E",10207,10217,10239,10227,10329,48.9000015258789,1,87.0999984741211,4844,2.07999992370605,4907.2099609375,4912.02001953125,4922.60009765625,4916.830078125,4965.8701171875,4059,46.7000007629395,5.7,7.056,34379,0.151999995112419,0.150000005960464,0.163000002503395,0.163000002503395,0.157000005245209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.7000007629395,12.8000001907349,14.8100004196167,1,"Morro Bay"
